PSC Code (Description),4-Digit PSC,Level 1,Level 1 Category,Level 2,Level 2 Category,,
AT67 R&D- OTHER TRANSPORTATION: TRAFFIC MANAGEMENT (COMMERCIALIZED),AT67,17,Research and Development,17.4,Commericalization,,
AT71 (R&D- OTHER TRANSPORTATION: TUNNELS AND OTHER SUBSURFACE STRUCTURES (BASIC RESEARCH)),AT71,17,Research and Development,17.3,Technology Base,,
AT72 R&D- OTHER TRANSPORTATION: TUNNELS/OTHER SUBSURF STRUC (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT),AT72,17,Research and Development,17.3,Technology Base,,
AT73 R&D- OTHER TRANSPORTATION: TUNNELS AND OTHER SUBSURFACE STRUCTURES (ADVANCED DEVELOPMENT),AT73,17,Research and Development,17.1,Systems Development,,
AT74 R&D- OTHER TRANSPORTATION: TUNNELS AND OTHER SUBSURFACE STRUCTURES (ENGINEERING DEVELOPMENT),AT74,17,Research and Development,17.1,Systems Development,,
AT75 R&D- OTHER TRANSPORTATION: TUNNELS AND OTHER SUBSURFACE STRUCTURES (OPERATIONAL SYSTEMS DEVELOPMENT),AT75,17,Research and Development,17.2,Operational Systems Development,,
AT77 R&D- OTHER TRANSPORTATION: TUNNELS AND OTHER SUBSURFACE STRUCTURES (COMMERCIALIZED),AT77,17,Research and Development,17.4,Commericalization,,
AT81 (R&D- OTHER TRANSPORTATION: TRANSPORTING HAZARDOUS MATERIALS (BASIC RESEARCH)),AT81,17,Research and Development,17.3,Technology Base,,
AT82 R&D- OTHER TRANSPORTATION: TRANSPORTING HAZ MAT (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT),AT82,17,Research and Development,17.3,Technology Base,,
AT83 R&D- OTHER TRANSPORTATION: TRANSPORTING HAZARDOUS MATERIALS (ADVANCED DEVELOPMENT),AT83,17,Research and Development,17.1,Systems Development,,
AT84 R&D- OTHER TRANSPORTATION: TRANSPORTING HAZARDOUS MATERIALS (ENGINEERING DEVELOPMENT),AT84,17,Research and Development,17.1,Systems Development,,
AT85 &D- OTHER TRANSPORTATION: TRANSPORTING HAZARDOUS MATERIALS (OPERATIONAL SYSTEMS DEVELOPMENT),AT85,17,Research and Development,17.2,Operational Systems Development,,
AT87 (R&D- OTHER TRANSPORTATION: TRANSPORTING HAZARDOUS MATS (COMMERCIALIZED)),AT87,17,Research and Development,17.4,Commericalization,,
AT91 (R&D- OTHER TRANSPORTATION: OTHER GENERAL (BASIC RESEARCH)),AT91,17,Research and Development,17.3,Technology Base,,
AT92 (R&D- OTHER TRANSPORTATION: OTHER GENERAL (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)),AT92,17,Research and Development,17.3,Technology Base,,
AT93 R&D- OTHER TRANSPORTATION: OTHER GENERAL (ADVANCED DEVELOPMENT),AT93,17,Research and Development,17.1,Systems Development,,
AT94 (R&D- OTHER TRANSPORTATION: OTHER GENERAL (ENGINEERING DEVELOPMENT)),AT94,17,Research and Development,17.1,Systems Development,,
AT95 (R&D- OTHER TRANSPORTATION: OTHER GENERAL (OPERATIONAL SYSTEMS DEVELOPMENT)),AT95,17,Research and Development,17.2,Operational Systems Development,,
AT97 (R&D- OTHER TRANSPORTATION: OTHER GENERAL (COMMERCIALIZED)),AT97,17,Research and Development,17.4,Commericalization,,
AV11 (R&D- MINING: SUBSURFACE MINING EQUIPMENT (BASIC RESEARCH)),AV11,17,Research and Development,17.3,Technology Base,,
AV12 (R&D- MINING: SUBSURFACE MINING EQUIPMENT (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)),AV12,17,Research and Development,17.3,Technology Base,,
AV13 (R&D- MINING: SUBSURFACE MINING EQUIPMENT (ADVANCED DEVELOPMENT)),AV13,17,Research and Development,17.1,Systems Development,,
AV14 (R&D- MINING: SUBSURFACE MINING EQUIPMENT (ENGINEERING DEVELOPMENT)),AV14,17,Research and Development,17.1,Systems Development,,
AV15 R&D- MINING: SUBSURFACE MINING EQUIPMENT (OPERATIONAL SYSTEMS DEVELOPMENT),AV15,17,Research and Development,17.2,Operational Systems Development,,
AV17 R&D- MINING: SUBSURFACE MINING EQUIPMENT (COMMERCIALIZED),AV17,17,Research and Development,17.4,Commericalization,,
AV21 R&D- MINING: SURFACE MINING EQUIPMENT (BASIC RESEARCH),AV21,17,Research and Development,17.3,Technology Base,,
AV22 R&D- MINING: SURFACE MINING EQUIPMENT (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT),AV22,17,Research and Development,17.3,Technology Base,,
AV23 R&D- MINING: SURFACE MINING EQUIPMENT (ADVANCED DEVELOPMENT),AV23,17,Research and Development,17.1,Systems Development,,
AV24 R&D- MINING: SURFACE MINING EQUIPMENT (ENGINEERING DEVELOPMENT),AV24,17,Research and Development,17.1,Systems Development,,
AV25 R&D- MINING: SURFACE MINING EQUIPMENT (OPERATIONAL SYSTEMS DEVELOPMENT),AV25,17,Research and Development,17.2,Operational Systems Development,,
AV27 R&D- MINING: SURFACE MINING EQUIPMENT (COMMERCIALIZED),AV27,17,Research and Development,17.4,Commericalization,,
AV31 R&D- MINING: SUBSURFACE MINING METHODS (BASIC RESEARCH),AV31,17,Research and Development,17.3,Technology Base,,
AV32 R&D- MINING: SUBSURFACE MINING METHODS (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT),AV32,17,Research and Development,17.3,Technology Base,,
AV33 R&D- MINING: SUBSURFACE MINING METHODS (ADVANCED DEVELOPMENT),AV33,17,Research and Development,17.1,Systems Development,,
AV34 R&D- MINING: SUBSURFACE MINING METHODS (ENGINEERING DEVELOPMENT),AV34,17,Research and Development,17.1,Systems Development,,
AV35 R&D- MINING: SUBSURFACE MINING METHODS (OPERATIONAL SYSTEMS DEVELOPMENT),AV35,17,Research and Development,17.2,Operational Systems Development,,
AV37 R&D- MINING: SUBSURFACE MINING METHODS (COMMERCIALIZED),AV37,17,Research and Development,17.4,Commericalization,,
AV41 R&D- MINING: SURFACE MINING METHODS (BASIC RESEARCH),AV41,17,Research and Development,17.3,Technology Base,,
AV42 R&D- MINING: SURFACE MINING METHODS (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT),AV42,17,Research and Development,17.3,Technology Base,,
AV43 R&D- MINING: SURFACE MINING METHODS (ADVANCED DEVELOPMENT),AV43,17,Research and Development,17.1,Systems Development,,
AV44 R&D- MINING: SURFACE MINING METHODS (ENGINEERING DEVELOPMENT),AV44,17,Research and Development,17.1,Systems Development,,
AV45 R&D- MINING: SURFACE MINING METHODS (OPERATIONAL SYSTEMS DEVELOPMENT),AV45,17,Research and Development,17.2,Operational Systems Development,,
AV47 R&D- MINING: SURFACE MINING METHODS (COMMERCIALIZED),AV47,17,Research and Development,17.4,Commericalization,,
AV51 R&D- MINING: MINING RECLAMATION METHODS (BASIC RESEARCH),AV51,17,Research and Development,17.3,Technology Base,,
AV52 R&D- MINING: MINING RECLAMATION METHODS (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT),AV52,17,Research and Development,17.3,Technology Base,,
AV53 R&D- MINING: MINING RECLAMATION METHODS (ADVANCED DEVELOPMENT),AV53,17,Research and Development,17.1,Systems Development,,
AV54 (R&D- MINING: MINING RECLAMATION METHODS (ENGINEERING DEVELOPMENT)),AV54,17,Research and Development,17.1,Systems Development,,
AV55 R&D- MINING: MINING RECLAMATION METHODS (OPERATIONAL SYSTEMS DEVELOPMENT),AV55,17,Research and Development,17.2,Operational Systems Development,,
AV57 R&D- MINING: MINING RECLAMATION METHODS (COMMERCIALIZED),AV57,17,Research and Development,17.4,Commericalization,,
AV61 (R&D- MINING: MINING SAFETY (BASIC RESEARCH)),AV61,17,Research and Development,17.3,Technology Base,,
AV62 (R&D- MINING: MINING SAFETY (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)),AV62,17,Research and Development,17.3,Technology Base,,
AV63 (R&D- MINING: MINING SAFETY (ADVANCED DEVELOPMENT)),AV63,17,Research and Development,17.1,Systems Development,,
AV64 (R&D- MINING: MINING SAFETY (ENGINEERING DEVELOPMENT)),AV64,17,Research and Development,17.1,Systems Development,,
AV65 R&D- MINING: MINING SAFETY (OPERATIONAL SYSTEMS DEVELOPMENT),AV65,17,Research and Development,17.2,Operational Systems Development,,
AV67 R&D- MINING: MINING SAFETY (COMMERCIALIZED),AV67,17,Research and Development,17.4,Commericalization,,
AV71 R&D- MINING: METALLURGICAL (BASIC RESEARCH),AV71,17,Research and Development,17.3,Technology Base,,
AV72 (R&D- MINING: METALLURGICAL (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)),AV72,17,Research and Development,17.3,Technology Base,,
AV73 R&D- MINING: METALLURGICAL (ADVANCED DEVELOPMENT),AV73,17,Research and Development,17.1,Systems Development,,
AV74 R&D- MINING: METALLURGICAL (ENGINEERING DEVELOPMENT),AV74,17,Research and Development,17.1,Systems Development,,
AV75 R&D- MINING: METALLURGICAL (OPERATIONAL SYSTEMS DEVELOPMENT),AV75,17,Research and Development,17.2,Operational Systems Development,,
AV77 R&D- MINING: METALLURGICAL (COMMERCIALIZED),AV77,17,Research and Development,17.4,Commericalization,,
AV91 R&D- MINING: OTHER MINING ACTIVITIES (BASIC RESEARCH),AV91,17,Research and Development,17.3,Technology Base,,
AV92 (R&D- MINING: OTHER MINING ACTIVITIES (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)),AV92,17,Research and Development,17.3,Technology Base,,
AV93 (R&D- MINING: OTHER MINING ACTIVITIES (ADVANCED DEVELOPMENT)),AV93,17,Research and Development,17.1,Systems Development,,
AV94 R&D- MINING: OTHER MINING ACTIVITIES (ENGINEERING DEVELOPMENT),AV94,17,Research and Development,17.1,Systems Development,,
AV95 (R&D- MINING: OTHER MINING ACTIVITIES (OPERATIONAL SYSTEMS DEVELOPMENT)),AV95,17,Research and Development,17.2,Operational Systems Development,,
AV97 R&D- MINING: OTHER MINING ACTIVITIES (COMMERCIALIZED),AV97,17,Research and Development,17.4,Commericalization,,
AZ11 (R&D- OTHER RESEARCH AND DEVELOPMENT (BASIC RESEARCH)),AZ11,17,Research and Development,17.3,Technology Base,,
AZ12 (R&D- OTHER RESEARCH AND DEVELOPMENT (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)),AZ12,17,Research and Development,17.3,Technology Base,,
AZ13 (R&D- OTHER RESEARCH AND DEVELOPMENT (ADVANCED DEVELOPMENT)),AZ13,17,Research and Development,17.1,Systems Development,,
AZ14 (R&D- OTHER RESEARCH AND DEVELOPMENT (ENGINEERING DEVELOPMENT)),AZ14,17,Research and Development,17.1,Systems Development,,
AZ15 (R&D- OTHER RESEARCH AND DEVELOPMENT (OPERATIONAL SYSTEMS DEVELOPMENT)),AZ15,17,Research and Development,17.2,Operational Systems Development,,
AZ17 (R&D- OTHER RESEARCH AND DEVELOPMENT (COMMERCIALIZED)),AZ17,17,Research and Development,17.4,Commericalization,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
