Recipient Name,Start Date,End Date,Award Amount,Awarding Agency,Contract Award Type,state,naics
"ROCHE, JOHN P",9/20/18,9/19/19,8995.5,Department of Defense,BPA CALL,GA,541690
"ROCHE, JOHN P",9/20/18,9/19/19,15898.5,Department of Defense,BPA CALL,GA,541690
"ROCHE, JOHN P",9/18/18,9/17/19,15292.5,Department of Defense,BPA CALL,GA,541690
"ROCHE, JOHN P",9/18/18,9/17/19,15731.5,Department of Defense,BPA CALL,GA,541690
"ROCHE, JOHN P",9/18/18,9/17/19,15389.5,Department of Defense,BPA CALL,GA,541690
"ERIK C MILLER SURVEYING, LLC",9/18/18,9/17/19,9595.5,Department of Defense,BPA CALL,GA,541690
"ROCHE, JOHN P",9/18/18,9/17/19,15496.5,Department of Defense,BPA CALL,GA,541690
"SOUTHEAST SAFETY SOLUTIONS, LLC",9/18/18,9/17/19,9745.5,Department of Defense,BPA CALL,GA,541690
"SOUTHEAST SAFETY SOLUTIONS, LLC",9/18/18,9/17/19,13889.5,Department of Defense,BPA CALL,GA,541690
"SINGLETON, KAREN",9/18/18,9/17/19,8489.5,Department of Defense,BPA CALL,GA,541690
"PHASE ASSOCIATES, LLC",9/18/18,9/17/19,10764.5,Department of Defense,BPA CALL,GA,541690
APEX ENVIRONMENTAL INC,9/18/18,9/17/19,10089.5,Department of Defense,BPA CALL,GA,541690
"SINGLETON, KAREN",9/14/18,9/13/19,9489.5,Department of Defense,BPA CALL,GA,541690
"SINGLETON, KAREN",9/14/18,9/13/19,8939.5,Department of Defense,BPA CALL,GA,541690
"SINGLETON, KAREN",9/18/18,9/17/19,10839.5,Department of Defense,BPA CALL,GA,541690
"TAMMER SCIENCES, LLC",9/14/18,9/13/19,7789.5,Department of Defense,BPA CALL,GA,541690
"TAMMER SCIENCES, LLC",9/14/18,9/13/19,7289.5,Department of Defense,BPA CALL,GA,541690
THOMAS L MINCKLER,9/18/18,9/17/19,11339.5,Department of Defense,BPA CALL,GA,541690
THOMAS L MINCKLER,9/18/18,9/17/19,14339.5,Department of Defense,BPA CALL,GA,541690
"SMITH MANAGEMENT GROUP, INC.",9/18/18,9/17/19,10939.5,Department of Defense,BPA CALL,GA,541690
"GANZY, JAMISON L",9/18/18,9/17/19,7563.5,Department of Defense,BPA CALL,GA,541690
"GANZY, JAMISON L",9/18/18,9/17/19,10089.5,Department of Defense,BPA CALL,GA,541690
NICHOLS ENVIRONMENTAL ASSOCIATES INC,9/18/18,9/17/19,7889.5,Department of Defense,BPA CALL,GA,541690
NICHOLS ENVIRONMENTAL ASSOCIATES INC,9/18/18,9/17/19,8407,Department of Defense,BPA CALL,GA,541690
NICHOLS ENVIRONMENTAL ASSOCIATES INC,9/14/18,9/13/19,7739.5,Department of Defense,BPA CALL,GA,541690
THOMAS L MINCKLER,9/11/18,9/10/19,6739.5,Department of Defense,BPA CALL,GA,541690
THOMAS L MINCKLER,9/11/18,9/10/19,6239.5,Department of Defense,BPA CALL,GA,541690
APEX ENVIRONMENTAL INC,9/13/18,9/12/19,10089.5,Department of Defense,BPA CALL,GA,541690
"GLE ASSOCIATES, INC.",9/11/18,9/10/19,10400,Department of Defense,BPA CALL,GA,541690
"EVANS, LISA A",9/11/18,9/10/19,11600,Department of Defense,BPA CALL,GA,541690
"GLE ASSOCIATES, INC.",9/1/18,9/10/19,8600,Department of Defense,BPA CALL,GA,541690
"GANZY, JAMISON L",9/7/18,9/6/19,11975.21,Department of Defense,BPA CALL,GA,541690
"GANZY, JAMISON L",9/6/18,9/5/19,6500.78,Department of Defense,BPA CALL,GA,541690
"SMITH MANAGEMENT GROUP, INC.",9/7/18,9/6/19,11039.5,Department of Defense,BPA CALL,GA,541690
"SMITH MANAGEMENT GROUP, INC.",9/6/18,9/5/19,10888.5,Department of Defense,BPA CALL,GA,541690
"ENVIRONMENTAL HEALTH AND SAFETY SOLUTIONS, LLC",9/6/18,9/5/19,7877,Department of Defense,BPA CALL,GA,541690
"ENVIRONMENTAL HEALTH AND SAFETY SOLUTIONS, LLC",9/7/18,9/6/19,7743.25,Department of Defense,BPA CALL,GA,541690
"ENVIRONMENTAL HEALTH AND SAFETY SOLUTIONS, LLC",9/6/18,9/5/19,7743.25,Department of Defense,BPA CALL,GA,541690
AIRQUEST ENVIRONMENTAL INC,9/6/18,9/5/19,11539.5,Department of Defense,BPA CALL,GA,541690
"SMITH MANAGEMENT GROUP, INC.",9/6/18,9/5/19,11864.5,Department of Defense,BPA CALL,GA,541690
"SINGLETON, KAREN",9/6/18,9/5/19,14359.5,Department of Defense,BPA CALL,GA,541690
"SOUTHEAST SAFETY SOLUTIONS, LLC",9/7/18,9/6/19,11389.5,Department of Defense,BPA CALL,GA,541690
AIRQUEST ENVIRONMENTAL INC,9/6/18,9/5/19,10889.5,Department of Defense,BPA CALL,GA,541690
NICHOLS ENVIRONMENTAL ASSOCIATES INC,9/7/18,9/6/19,7937,Department of Defense,BPA CALL,GA,541690
"ENVIRONMENTAL HEALTH AND SAFETY SOLUTIONS, LLC",8/13/18,3/31/19,7628,Department of Defense,BPA CALL,GA,541690
"GLE ASSOCIATES, INC.",8/13/18,3/31/19,8950,Department of Defense,BPA CALL,GA,541690
"GLE ASSOCIATES, INC.",9/11/18,9/10/19,8700,Department of Defense,BPA CALL,GA,541690
APEX ENVIRONMENTAL INC,8/20/18,3/31/19,9701.5,Department of Defense,BPA CALL,GA,541690
"ENVIRONMENTAL HEALTH AND SAFETY SOLUTIONS, LLC",6/5/18,9/30/18,7845.5,Department of Defense,BPA CALL,GA,541690
"ENVIRONMENTAL HEALTH AND SAFETY SOLUTIONS, LLC",6/5/18,9/30/18,7785.5,Department of Defense,BPA CALL,GA,541690
"GLE ASSOCIATES, INC.",6/5/18,9/30/18,8799.5,Department of Defense,BPA CALL,GA,541690
"TAMMER SCIENCES, LLC",6/5/18,9/30/18,10289.5,Department of Defense,BPA CALL,GA,541690
"ENVIRONMENTAL HEALTH AND SAFETY SOLUTIONS, LLC",6/5/18,9/30/18,7785.5,Department of Defense,BPA CALL,GA,541690
"ENVIRONMENTAL HEALTH AND SAFETY SOLUTIONS, LLC",6/5/18,9/30/18,7785.5,Department of Defense,BPA CALL,GA,541690
"GLE ASSOCIATES, INC.",5/31/18,9/30/18,8799.5,Department of Defense,BPA CALL,GA,541690
"ENVIRO-MANAGEMENT, INC.",6/5/18,9/30/18,7359.5,Department of Defense,BPA CALL,GA,541690
"EVANS, LISA A",6/5/18,9/30/18,8789.5,Department of Defense,BPA CALL,GA,541690
AIRQUEST ENVIRONMENTAL INC,6/5/18,9/30/18,10849.5,Department of Defense,BPA CALL,GA,541690
"ENVIRONMENTAL HEALTH AND SAFETY SOLUTIONS, LLC",6/5/18,9/30/18,7935.5,Department of Defense,BPA CALL,GA,541690
APEX ENVIRONMENTAL INC,6/5/18,9/30/18,9560.5,Department of Defense,BPA CALL,GA,541690
"SMITH MANAGEMENT GROUP, INC.",6/5/18,9/30/18,8923.5,Department of Defense,BPA CALL,GA,541690
"SMITH MANAGEMENT GROUP, INC.",6/5/18,9/30/18,11473.5,Department of Defense,BPA CALL,GA,541690
"FITZROY ENVIRONMENTAL CONSULTING, INC",6/5/18,9/30/18,7889.5,Department of Defense,BPA CALL,GA,541690
"PHASE ASSOCIATES, LLC",4/24/18,9/30/18,16064.5,Department of Defense,BPA CALL,GA,541690
"FITZROY ENVIRONMENTAL CONSULTING, INC",6/5/18,9/30/18,8389.5,Department of Defense,BPA CALL,GA,541690
"PHASE ASSOCIATES, LLC",6/5/18,9/30/18,14089.5,Department of Defense,BPA CALL,GA,541690
"EVANS, LISA A",5/8/18,9/30/18,13500,Department of Defense,BPA CALL,GA,541690
"EVANS, LISA A",4/24/18,9/30/18,15000,Department of Defense,BPA CALL,GA,541690
"OCEANWEATHER, INC.",12/3/18,12/18/18,15000,Department of Defense,PURCHASE ORDER,GA,541690
"KEVIN J. RICHARDS, PH.D., P.C.",10/12/18,10/11/19,28409.89,Department of Defense,PURCHASE ORDER,GA,541690
"CYBER AGENTS, INC.",4/20/18,9/30/18,12000,Department of Defense,PURCHASE ORDER,GA,541690
"KEVIN J. RICHARDS, PH.D., P.C.",4/20/18,9/30/18,17500,Department of Defense,PURCHASE ORDER,GA,541690
"CYBER AGENTS, INC.",3/19/18,9/30/18,13000,Department of Defense,PURCHASE ORDER,GA,541690
"SAHNI, NAMEETA",3/19/18,3/15/19,23125,Department of Defense,PURCHASE ORDER,GA,541690
"CYBER AGENTS, INC.",5/25/17,9/30/18,14000,Department of Defense,PURCHASE ORDER,GA,541690
LEADERS AND TRAINING LLC,1/9/18,1/8/19,3121544.37,Department of Defense,PURCHASE ORDER,GA,541690
"GRAHAM & ASSOCIATES, INC.",9/5/17,9/10/18,111990.06,Department of Defense,PURCHASE ORDER,GA,541690
"SJ TECHNOLOGIES, INC.",9/22/18,9/20/19,325115.54,Department of Defense,BPA CALL,GA,541690
"AMERICA'S STAFFING PARTNER, INC.",12/12/13,6/15/15,196907.65,Department of Defense,PURCHASE ORDER,GA,541690
ALLIANCE MEDICAL PHYSICS LLC,2/24/14,9/30/18,866560,Department of Defense,DEFINITIVE CONTRACT,GA,541690
ALLIANCE MEDICAL PHYSICS LLC,4/7/16,3/31/21,176540,Department of Veterans Affairs,DEFINITIVE CONTRACT,GA,541690
"ECKLES, DAVID L.",6/30/16,6/29/20,72975,Department of the Treasury,PURCHASE ORDER,GA,541690
"AMERICAN K-9 DETECTION SERVICES, LLC",1/3/16,9/30/19,8567999.76,Department of State,DEFINITIVE CONTRACT,GA,541690
"UNIVERSITY OF GEORGIA RESEARCH FOUNDATION, INC.",8/13/18,8/13/19,0,Department of Defense,PURCHASE ORDER,GA,541690
"KUZMICH, ALEXANDER",8/20/18,10/30/18,24900,Department of Defense,PURCHASE ORDER,GA,541690
JACQUELINE BASS PRESERVATION LLC,9/2/15,7/31/18,75087,Department of the Interior,PURCHASE ORDER,GA,541690
"TSO ARMOR AND TRAINING, INC.",4/5/17,2/28/19,99243.64,Department of Homeland Security,BPA CALL,GA,541690
"RUMPH & ASSOCIATES, P.C.",4/1/18,7/31/19,38297.57,Department of Health and Human Services,PURCHASE ORDER,GA,541690
VAAS PROFESSIONALS LLC,12/20/17,12/19/18,3995.12,Department of Health and Human Services,DEFINITIVE CONTRACT,GA,541690
MISCELLANEOUS FOREIGN AWARDEES,8/21/17,8/20/19,30000,Department of Health and Human Services,PURCHASE ORDER,GA,541690
"UNIVERSITY OF GEORGIA RESEARCH FOUNDATION, INC.",9/29/17,9/28/19,507953.63,Department of Health and Human Services,DEFINITIVE CONTRACT,GA,541690
"SYNERGY AMERICA, INC.",9/17/17,6/16/18,256159.36,Department of Health and Human Services,DEFINITIVE CONTRACT,GA,541690
"SYNERGY AMERICA, INC.",9/1/17,8/31/18,397540,Department of Health and Human Services,DEFINITIVE CONTRACT,GA,541690
G2S CORPORATION,9/1/17,8/31/20,1035931.56,Department of Health and Human Services,DEFINITIVE CONTRACT,GA,541690
CAITTA INC,8/1/17,7/31/20,1326327.2,Department of Health and Human Services,DEFINITIVE CONTRACT,GA,541690
"RUMPH & ASSOCIATES, P.C.",8/1/16,2/28/18,44704.1,Department of Health and Human Services,PURCHASE ORDER,GA,541690
KARNA LLC,9/26/16,9/25/17,175225.15,Department of Health and Human Services,DEFINITIVE CONTRACT,GA,541690
"IHRC, INCORPORATED",9/30/16,9/29/20,3910841.28,Department of Health and Human Services,DEFINITIVE CONTRACT,GA,541690
"CERTIFIED TECHNICAL EXPERTS, INC.",9/6/16,9/5/19,673078.3,Department of Health and Human Services,DEFINITIVE CONTRACT,GA,541690
"IHRC, INCORPORATED",9/1/16,8/31/18,3604460.1,Department of Health and Human Services,DEFINITIVE CONTRACT,GA,541690
"IHRC, INCORPORATED",9/20/16,9/20/19,3700862.52,Department of Health and Human Services,DEFINITIVE CONTRACT,GA,541690
"RUMPH & ASSOCIATES, P.C.",8/15/16,9/29/19,2140713.47,Department of Health and Human Services,DEFINITIVE CONTRACT,GA,541690
"IHRC, INCORPORATED",8/22/16,3/31/20,2628006.9,Department of Health and Human Services,DEFINITIVE CONTRACT,GA,541690
"IHRC, INCORPORATED",3/15/18,3/31/20,2175750.02,Department of Health and Human Services,DEFINITIVE CONTRACT,GA,541690
"CFOL INTERNATIONAL, INC.",7/22/16,7/21/20,2777881.98,Department of Health and Human Services,DEFINITIVE CONTRACT,GA,541690
"IHRC, INCORPORATED",8/12/16,9/28/19,673220.6,Department of Health and Human Services,DEFINITIVE CONTRACT,GA,541690
"CHEROKEE NATION ASSURANCE, L.L.C.",9/26/16,9/22/20,5299348.94,Department of Health and Human Services,DEFINITIVE CONTRACT,GA,541690
"CNI ADVANTAGE, LLC",9/29/16,5/28/20,18096346.6,Department of Health and Human Services,DEFINITIVE CONTRACT,GA,541690
CADUCEUS HEALTHCARE INC,6/16/16,6/17/17,3289475.85,Department of Health and Human Services,DEFINITIVE CONTRACT,GA,541690
CADUCEUS HEALTHCARE INC,5/15/16,5/14/18,1939689.6,Department of Health and Human Services,DEFINITIVE CONTRACT,GA,541690
G2S CORPORATION,3/4/16,3/3/21,639456,Department of Health and Human Services,DEFINITIVE CONTRACT,GA,541690
KARNA LLC,9/1/15,9/13/16,106868.24,Department of Health and Human Services,PURCHASE ORDER,GA,541690
"ZOTTI, MARIANNE E",6/19/15,9/14/16,57356.22,Department of Health and Human Services,PURCHASE ORDER,GA,541690
"AVRAM CORPORATION, INC.",9/30/15,9/29/16,563930.48,Department of Health and Human Services,DEFINITIVE CONTRACT,GA,541690
"RUMPH & ASSOCIATES, P.C.",9/29/15,9/28/18,865568.76,Department of Health and Human Services,DEFINITIVE CONTRACT,GA,541690
"OAK RIDGE ASSOCIATED UNIVERSITIES, INCORPORATED",9/30/15,9/29/20,3782752.67,Department of Health and Human Services,DEFINITIVE CONTRACT,GA,541690
"IHRC, INCORPORATED",9/30/15,9/29/18,4067755.28,Department of Health and Human Services,DEFINITIVE CONTRACT,GA,541690
"IHRC, INCORPORATED",9/28/15,10/27/16,3283908.27,Department of Health and Human Services,DEFINITIVE CONTRACT,GA,541690
"IHRC, INCORPORATED",9/1/15,8/31/18,1254866.15,Department of Health and Human Services,DEFINITIVE CONTRACT,GA,541690
KARNA LLC,9/25/15,9/24/18,2977433,Department of Health and Human Services,DEFINITIVE CONTRACT,GA,541690
AXIOM CORPORATION,8/17/15,8/16/20,1406572.8,Department of Health and Human Services,DEFINITIVE CONTRACT,GA,541690
"EAGLE MEDICAL SERVICES, LLC",9/20/17,9/19/20,2932792.76,Department of Health and Human Services,DELIVERY ORDER,GA,541690
"EAGLE MEDICAL SERVICES, LLC",8/28/17,2/27/20,239337.28,Department of Health and Human Services,DELIVERY ORDER,GA,541690
"EAGLE MEDICAL SERVICES, LLC",5/24/17,5/23/19,363521.28,Department of Health and Human Services,DELIVERY ORDER,GA,541690
"EAGLE MEDICAL SERVICES, LLC",8/8/16,8/7/17,177997.42,Department of Health and Human Services,DELIVERY ORDER,GA,541690
"EAGLE MEDICAL SERVICES, LLC",4/15/16,10/14/18,61363.84,Department of Health and Human Services,DELIVERY ORDER,GA,541690
2M RESEARCH SERVICES LLC,8/12/15,8/11/19,1599018.25,Department of Health and Human Services,DEFINITIVE CONTRACT,GA,541690
"ADVANCED TECHNOLOGY LOGISTICS, INC.",7/1/15,7/31/19,2176243.19,Department of Health and Human Services,DEFINITIVE CONTRACT,GA,541690
UNIVERSITY OF WISCONSIN SYSTEM,8/1/14,9/14/15,17846.04,Department of Health and Human Services,PURCHASE ORDER,GA,541690
"IHRC, INCORPORATED",9/29/14,9/28/19,3569867.67,Department of Health and Human Services,DEFINITIVE CONTRACT,GA,541690
"IHRC, INCORPORATED",9/29/14,9/28/18,524375.8,Department of Health and Human Services,DEFINITIVE CONTRACT,GA,541690
"IHRC, INCORPORATED",9/20/14,9/19/18,1639395.82,Department of Health and Human Services,DEFINITIVE CONTRACT,GA,541690
"POINT SECURITY, INC.",3/25/14,9/24/18,850971.23,Department of Health and Human Services,DEFINITIVE CONTRACT,GA,541690
"MCNEAL PROFESSIONAL SERVICES, INC.",9/20/13,4/30/15,109869.2,Department of Health and Human Services,PURCHASE ORDER,GA,541690
"ASCT SERVICES, INC.",9/27/13,2/15/16,1022571.92,Department of Health and Human Services,DEFINITIVE CONTRACT,GA,541690
"MCNEAL PROFESSIONAL SERVICES, INC.",8/30/13,9/24/15,147520,Department of Health and Human Services,DEFINITIVE CONTRACT,GA,541690
RESEARCH TRIANGLE INSTITUTE,6/21/16,9/24/17,491686,Department of Health and Human Services,DELIVERY ORDER,GA,541690
RESEARCH TRIANGLE INSTITUTE,9/25/15,9/24/16,39100,Department of Health and Human Services,DELIVERY ORDER,GA,541690
RESEARCH TRIANGLE INSTITUTE,9/25/15,4/24/16,27473.4,Department of Health and Human Services,DELIVERY ORDER,GA,541690
RESEARCH TRIANGLE INSTITUTE,9/22/14,9/21/15,51941,Department of Health and Human Services,DELIVERY ORDER,GA,541690
RESEARCH TRIANGLE INSTITUTE,9/22/14,9/21/15,502502.59,Department of Health and Human Services,DELIVERY ORDER,GA,541690
UNIVERSITY OF GEORGIA,9/15/12,4/29/13,300000,Department of Health and Human Services,DEFINITIVE CONTRACT,GA,541690
"OPEN MEDICINE INSTITUTE, INC.",9/29/12,3/28/19,5575483.22,Department of Health and Human Services,DEFINITIVE CONTRACT,GA,541690
"EASTERN RESEARCH GROUP, INC.",9/12/16,9/11/20,1128250,Department of Health and Human Services,DELIVERY ORDER,GA,541690
"EASTERN RESEARCH GROUP, INC.",9/21/16,9/20/19,475614,Department of Health and Human Services,DELIVERY ORDER,GA,541690
"EASTERN RESEARCH GROUP, INC.",9/14/15,9/13/16,132072,Department of Health and Human Services,DELIVERY ORDER,GA,541690
"EASTERN RESEARCH GROUP, INC.",7/1/15,6/30/16,806712.2,Department of Health and Human Services,DELIVERY ORDER,GA,541690
"EASTERN RESEARCH GROUP, INC.",9/23/13,9/24/16,509694.62,Department of Health and Human Services,DELIVERY ORDER,GA,541690
"LOCKHEED MARTIN SERVICES, INC.",8/31/11,6/30/13,19056127.22,Department of Health and Human Services,BPA CALL,GA,541690
"IHRC, INCORPORATED",9/30/11,4/11/12,30097.52,Department of Health and Human Services,DEFINITIVE CONTRACT,GA,541690
"CENTER FOR NEURO-IMMUNE DISORDERS, LLC, THE",9/29/11,9/28/13,123630,Department of Health and Human Services,DEFINITIVE CONTRACT,GA,541690
BETH ISRAEL MEDICAL CENTER,9/29/11,9/28/13,253675,Department of Health and Human Services,DEFINITIVE CONTRACT,GA,541690
"OPEN MEDICINE INSTITUTE, INC.",9/29/11,9/28/13,799950,Department of Health and Human Services,DEFINITIVE CONTRACT,GA,541690
"QED GROUP, LLC, THE",9/16/15,9/14/16,1865257.33,Department of Health and Human Services,DELIVERY ORDER,GA,541690
"QED GROUP, LLC, THE",4/29/13,5/1/16,1037717.37,Department of Health and Human Services,DELIVERY ORDER,GA,541690
"QED GROUP, LLC, THE",8/29/12,3/15/17,1014506.7,Department of Health and Human Services,DELIVERY ORDER,GA,541690
"QED GROUP, LLC, THE",8/14/12,9/23/13,455454.59,Department of Health and Human Services,DELIVERY ORDER,GA,541690
"QED GROUP, LLC, THE",3/13/12,3/14/18,7205555.58,Department of Health and Human Services,DELIVERY ORDER,GA,541690
"COMFORCE TECHNICAL SERVICES, INC.",11/30/12,9/14/16,646185.92,Department of Health and Human Services,DELIVERY ORDER,GA,541690
"COMFORCE TECHNICAL SERVICES, INC.",8/14/12,3/14/18,1843416.13,Department of Health and Human Services,DELIVERY ORDER,GA,541690
"COMFORCE TECHNICAL SERVICES, INC.",3/21/12,9/14/17,722861.95,Department of Health and Human Services,DELIVERY ORDER,GA,541690
"COMFORCE TECHNICAL SERVICES, INC.",3/12/12,3/14/18,2162445.59,Department of Health and Human Services,DELIVERY ORDER,GA,541690
"COMFORCE TECHNICAL SERVICES, INC.",3/12/12,3/14/18,1439737.69,Department of Health and Human Services,DELIVERY ORDER,GA,541690
UNIVERSITY OF ALABAMA AT BIRMINGHAM,7/20/11,12/31/12,209911,Department of Health and Human Services,DEFINITIVE CONTRACT,GA,541690
GEORGIA TECH RESEARCH CORPORATION,2/15/11,2/14/16,543415,Department of Health and Human Services,DEFINITIVE CONTRACT,GA,541690
"ICF MACRO, INC.",8/20/13,9/22/17,1517068.69,Department of Health and Human Services,DELIVERY ORDER,GA,541690
DELOITTE CONSULTING LLP,9/24/10,8/15/13,4617658.23,Department of Health and Human Services,BPA CALL,GA,541690
"LOCKHEED MARTIN SERVICES, INC.",6/15/10,12/14/12,7345104.58,Department of Health and Human Services,BPA CALL,GA,541690
"HEALTHY HOUSING SOLUTIONS, INC.",9/22/14,6/30/16,427322.85,Department of Health and Human Services,DELIVERY ORDER,GA,541690
"HEALTHY HOUSING SOLUTIONS, INC.",9/19/14,9/18/15,85048,Department of Health and Human Services,DELIVERY ORDER,GA,541690
"HEALTHY HOUSING SOLUTIONS, INC.",9/27/13,9/26/14,74717,Department of Health and Human Services,DELIVERY ORDER,GA,541690
"HEALTHY HOUSING SOLUTIONS, INC.",9/27/12,9/26/13,164660,Department of Health and Human Services,DELIVERY ORDER,GA,541690
"HEALTHY HOUSING SOLUTIONS, INC.",9/20/11,9/19/12,675746.66,Department of Health and Human Services,DELIVERY ORDER,GA,541690
"HEALTHY HOUSING SOLUTIONS, INC.",8/15/11,8/14/16,3998339,Department of Health and Human Services,DELIVERY ORDER,GA,541690
"HEALTHY HOUSING SOLUTIONS, INC.",9/30/10,9/29/11,508715,Department of Health and Human Services,DELIVERY ORDER,GA,541690
GEORGIA TECH APPLIED RESEARCH CORPORATION,8/9/05,6/29/13,31059871.04,Department of Defense,DEFINITIVE CONTRACT,GA,541710
"SA TECHNOLOGIES USA, LLC",5/3/07,11/3/08,447912,Department of Defense,DEFINITIVE CONTRACT,GA,541710
REGENTS OF THE UNIVERSITY OF C,9/13/02,11/30/10,1794185.32,Department of Health and Human Services,DEFINITIVE CONTRACT,GA,541710
EMORY UNIVERSITY,9/15/08,9/28/11,94031.54,Department of Health and Human Services,DELIVERY ORDER,GA,541710
EMORY UNIVERSITY,9/15/08,9/28/11,147127.82,Department of Health and Human Services,DELIVERY ORDER,GA,541710
EMORY UNIVERSITY,9/29/01,9/28/11,1067070.98,Department of Health and Human Services,DELIVERY ORDER,GA,541710
UNIVERSITY OF MEDICINE AND DENTISTRY OF NJ (INC),9/17/07,9/13/11,71755,Department of Health and Human Services,DELIVERY ORDER,GA,541710
GEORGIA TECH APPLIED RESEARCH CORPORATION,7/25/14,3/6/16,11587798.88,Department of Defense,DELIVERY ORDER,GA,541710
"UNIVERSITY OF GEORGIA RESEARCH FOUNDATION, INC.",2/21/17,9/5/20,553207.41,Department of Defense,DEFINITIVE CONTRACT,GA,541711
J & M SHULER MEDICAL INC,6/30/14,9/29/15,359835.64,Department of Defense,DEFINITIVE CONTRACT,GA,541711
APPLIED BIOMICS INC,9/15/15,9/15/16,9126,Department of Defense,PURCHASE ORDER,GA,541711
EMORY UNIVERSITY,4/1/14,3/19/18,151050,Department of Veterans Affairs,PURCHASE ORDER,GA,541711
"GEOVAX, INC.",8/1/16,12/31/17,197760.85,Department of Health and Human Services,DEFINITIVE CONTRACT,GA,541711
EMORY UNIVERSITY,6/30/15,10/31/18,3458502.19,Department of Health and Human Services,DEFINITIVE CONTRACT,GA,541711
EMORY UNIVERSITY,1/9/14,5/27/22,37348212.3,Department of Health and Human Services,DEFINITIVE CONTRACT,GA,541711
EMORY UNIVERSITY,3/21/13,3/20/21,18101894,Department of Health and Human Services,DEFINITIVE CONTRACT,GA,541711
EMORY UNIVERSITY,9/26/12,9/29/17,18989728.15,Department of Health and Human Services,DEFINITIVE CONTRACT,GA,541711
"UNIVERSITY OF GEORGIA RESEARCH FOUNDATION, INC.",3/1/18,7/13/24,3348907,Department of Health and Human Services,DELIVERY ORDER,GA,541711
"UNIVERSITY OF GEORGIA RESEARCH FOUNDATION, INC.",10/20/17,7/13/24,1936.83,Department of Health and Human Services,DELIVERY ORDER,GA,541711
"UNIVERSITY OF GEORGIA RESEARCH FOUNDATION, INC.",3/22/10,8/31/17,7271038.93,Department of Health and Human Services,DELIVERY ORDER,GA,541711
"RAYBIOTECH, INC.",8/17/17,6/30/19,10066,Department of Health and Human Services,PURCHASE ORDER,GA,541711
EMD MILLIPORE CORPORATION,8/17/17,8/30/17,17320.38,Department of Health and Human Services,PURCHASE ORDER,GA,541711
LUMINEX CORPORATION,6/6/17,7/7/18,4189.5,Department of Health and Human Services,PURCHASE ORDER,GA,541711
"RESEARCH FOUNDATION FOR THE STATE UNIVERSITY OF NEW YORK, THE",2/27/17,5/25/18,149999,Department of Health and Human Services,PURCHASE ORDER,GA,541711
"QIAGEN, LLC",12/29/16,12/28/19,180000,Department of Health and Human Services,PURCHASE ORDER,GA,541711
JOINT COMMISSION ON ACCREDITATION OF HEALTHCARE ORGANIZATIONS,9/13/16,9/29/17,381154,Department of Health and Human Services,DEFINITIVE CONTRACT,GA,541711
VIRGINIA COMMONWEALTH UNIVERSITY,9/13/16,9/29/19,322304,Department of Health and Human Services,DEFINITIVE CONTRACT,GA,541711
"IHRC, INCORPORATED",9/28/16,9/27/19,1138828.8,Department of Health and Human Services,DEFINITIVE CONTRACT,GA,541711
REGENTS OF THE UNIVERSITY OF MICHIGAN,9/12/16,9/29/17,336399,Department of Health and Human Services,DEFINITIVE CONTRACT,GA,541711
"WASHINGTON UNIVERSITY, THE",9/12/16,9/29/17,498427,Department of Health and Human Services,DEFINITIVE CONTRACT,GA,541711
SAFE KIDS WORLDWIDE,9/7/16,2/16/18,235574,Department of Health and Human Services,DEFINITIVE CONTRACT,GA,541711
"HEALTH SERVICES ADVISORY GROUP, INC.",9/9/16,11/14/17,363907,Department of Health and Human Services,DEFINITIVE CONTRACT,GA,541711
REGENTS OF THE UNIVERSITY OF MICHIGAN,9/12/16,12/31/17,399788,Department of Health and Human Services,DEFINITIVE CONTRACT,GA,541711
"MICROBIOME HEALTH RESEARCH INSTITUTE, INC.",9/13/16,3/19/18,547646,Department of Health and Human Services,DEFINITIVE CONTRACT,GA,541711
RECTOR & VISITORS OF THE UNIVERSITY OF VIRGINIA,9/14/16,9/29/17,550000,Department of Health and Human Services,DEFINITIVE CONTRACT,GA,541711
"TRUSTEES OF THE UNIVERSITY OF PENNSYLVANIA, THE",9/14/16,6/19/18,683280,Department of Health and Human Services,DEFINITIVE CONTRACT,GA,541711
EMORY UNIVERSITY,9/13/16,9/29/17,160000,Department of Health and Human Services,DEFINITIVE CONTRACT,GA,541711
"WASHINGTON UNIVERSITY, THE",9/12/16,9/29/17,492529,Department of Health and Human Services,DEFINITIVE CONTRACT,GA,541711
RHODE ISLAND HOSPITAL,9/8/16,9/14/17,520570,Department of Health and Human Services,DEFINITIVE CONTRACT,GA,541711
"UNIVERSITY OF GEORGIA RESEARCH FOUNDATION, INC.",9/8/16,12/31/17,266072,Department of Health and Human Services,DEFINITIVE CONTRACT,GA,541711
EMORY UNIVERSITY,9/1/16,9/14/17,299755,Department of Health and Human Services,DEFINITIVE CONTRACT,GA,541711
CHEMBIO DIAGNOSTIC SYSTEMS INC.,9/1/16,9/14/17,330000,Department of Health and Human Services,DEFINITIVE CONTRACT,GA,541711
RECTOR & VISITORS OF THE UNIVERSITY OF VIRGINIA,9/2/16,9/14/17,709205,Department of Health and Human Services,DEFINITIVE CONTRACT,GA,541711
"VYSNOVA PARTNERS, INC.",9/1/16,9/30/18,1740665,Department of Health and Human Services,DEFINITIVE CONTRACT,GA,541711
"VYSNOVA PARTNERS, INC.",9/1/16,8/31/18,6650108,Department of Health and Human Services,DEFINITIVE CONTRACT,GA,541711
